"","Province_State","Country_Region","Date","Confirmed","Deaths","Recovered"
"121","CA","US",2020-02-16,2,0,0
"122","MA","US",2020-02-16,1,0,0
"123","WI","US",2020-02-16,1,0,0
"124","TX","US",2020-02-16,1,0,0
"125","WA","US",2020-02-16,1,0,1
"126","AZ","US",2020-02-16,1,0,0
"127","IL","US",2020-02-17,2,0,2
"128","CA","US",2020-02-17,2,0,0
"129","MA","US",2020-02-17,1,0,0
"130","WI","US",2020-02-17,1,0,0
"131","TX","US",2020-02-17,1,0,0
"132","WA","US",2020-02-17,1,0,1
"133","AZ","US",2020-02-17,1,0,0
"134","IL","US",2020-02-18,2,0,2
"135","CA","US",2020-02-18,2,0,0
"136","MA","US",2020-02-18,1,0,0
"137","WI","US",2020-02-18,1,0,0
"138","TX","US",2020-02-18,1,0,0
"139","WA","US",2020-02-18,1,0,1
"140","AZ","US",2020-02-18,1,0,0
"141","IL","US",2020-02-19,2,0,2
"142","CA","US",2020-02-19,2,0,0
"143","MA","US",2020-02-19,1,0,0
"144","WI","US",2020-02-19,1,0,0
"145","TX","US",2020-02-19,1,0,0
"146","WA","US",2020-02-19,1,0,1
"147","AZ","US",2020-02-19,1,0,0
"148","IL","US",2020-02-20,2,0,2
"149","CA","US",2020-02-20,2,0,0
"150","MA","US",2020-02-20,1,0,0
"151","WI","US",2020-02-20,1,0,0
"152","TX","US",2020-02-20,1,0,0
"153","WA","US",2020-02-20,1,0,1
"154","AZ","US",2020-02-20,1,0,0
"155","NE","US",2020-02-21,11,0,0
"156","CA","US",2020-02-21,5,0,0
"157","IL","US",2020-02-21,2,0,2
"158","TX","US",2020-02-21,2,0,0
"159","MA","US",2020-02-21,1,0,0
"160","WI","US",2020-02-21,1,0,0
"161","WA","US",2020-02-21,1,0,1
"162","AZ","US",2020-02-21,1,0,0
"163","NE","US",2020-02-22,11,0,0
"164","CA","US",2020-02-22,5,0,0
"165","IL","US",2020-02-22,2,0,2
"166","TX","US",2020-02-22,2,0,0
"167","MA","US",2020-02-22,1,0,0
"168","WI","US",2020-02-22,1,0,0
"169","WA","US",2020-02-22,1,0,1
"170","AZ","US",2020-02-22,1,0,0
"171","NE","US",2020-02-23,11,0,0
"172","CA","US",2020-02-23,5,0,0
"173","IL","US",2020-02-23,2,0,2
"174","TX","US",2020-02-23,2,0,0
"175","MA","US",2020-02-23,1,0,0
"176","WI","US",2020-02-23,1,0,0
"177","WA","US",2020-02-23,1,0,1
"178","AZ","US",2020-02-23,1,0,0
"179","IL","US",2020-02-24,2,0,2
"180","CA","US",2020-02-24,2,0,0
"181","MA","US",2020-02-24,1,0,0
"182","WI","US",2020-02-24,1,0,0
"183","TX","US",2020-02-24,1,0,0
"184","WA","US",2020-02-24,1,0,1
"185","AZ","US",2020-02-24,1,0,0
"186","NE","US",2020-02-24,0,0,0
"187","IL","US",2020-02-25,2,0,2
"188","CA","US",2020-02-25,2,0,0
"189","MA","US",2020-02-25,1,0,0
"190","WI","US",2020-02-25,1,0,0
"191","TX","US",2020-02-25,1,0,0
"192","WA","US",2020-02-25,1,0,1
"193","AZ","US",2020-02-25,1,0,1
"194","NE","US",2020-02-25,0,0,0
"195","IL","US",2020-02-26,2,0,2
"196","CA","US",2020-02-26,2,0,0
"197","MA","US",2020-02-26,1,0,0
"198","WI","US",2020-02-26,1,0,0
"199","TX","US",2020-02-26,1,0,0
